place_id,name,link,main_category,categories,rating,reviews,address,coordinatex,coordinatey,webpage
ChIJDxVYR0WLGGARVrfI38KyHZE,Hacienda del cielo MODERN MEXICANO,https://www.google.com/maps/place/Hacienda+del+cielo+MODERN+MEXICANO/data=!4m7!3m6!1s0x60188b454758150f:0x911db2c2dfc8b756!8m2!3d35.6504276!4d139.7025852!16s%2Fg%2F1wyc49wb!19sChIJDxVYR0WLGGARVrfI38KyHZE?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran, takosu resutoran, tetsukusumetsukusuLiao Li Dian (amerika)",4.2,2559.0,〒150-0033 東京都渋谷区猿楽町１０−１ 9F,35.6504276,139.7025852,http://modern-mexicano.jp/hacienda/
ChIJf5ULvqmMGGARGFULU9fYTaM,タコベル 渋谷道玄坂店,https://www.google.com/maps/place/%E3%82%BF%E3%82%B3%E3%83%99%E3%83%AB+%E6%B8%8B%E8%B0%B7%E9%81%93%E7%8E%84%E5%9D%82%E5%BA%97/data=!4m7!3m6!1s0x60188ca9be0b957f:0xa34dd8d7530b5518!8m2!3d35.6599248!4d139.6976752!16s%2Fg%2F11b7jftrn7!19sChIJf5ULvqmMGGARGFULU9fYTaM?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, huasuto hudoDian ",3.9,1746.0,〒150-0043 東京都渋谷区道玄坂２丁目２５−１４,35.6599248,139.6976752,http://tacobell.co.jp/
ChIJUd36uqSMGGARIkBBHqsDtdQ,チレス原宿,https://www.google.com/maps/place/%E3%83%81%E3%83%AC%E3%82%B9%E5%8E%9F%E5%AE%BF/data=!4m7!3m6!1s0x60188ca4bafadd51:0xd4b503ab1e414022!8m2!3d35.6703765!4d139.705599!16s%2Fg%2F12hvlrbfr!19sChIJUd36uqSMGGARIkBBHqsDtdQ?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, burito resutoran",4.5,1163.0,〒150-0001 東京都渋谷区神宮前１丁目８−２４ ＯＺ原宿ビル,35.6703765,139.705599,https://www.chiles-grill.com/
ChIJa8wOYOGHGGARI9QsEhBQpY0,エルトリート 西葛西店,https://www.google.com/maps/place/%E3%82%A8%E3%83%AB%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88+%E8%A5%BF%E8%91%9B%E8%A5%BF%E5%BA%97/data=!4m7!3m6!1s0x601887e1600ecc6b:0x8da55010122cd423!8m2!3d35.6632363!4d139.8585645!16s%2Fg%2F1vg6tqkf!19sChIJa8wOYOGHGGARI9QsEhBQpY0?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.0,1130.0,〒134-0088 東京都江戸川区西葛西６丁目１０−１５,35.6632363,139.8585645,http://www.eltorito.jp/
ChIJz5fYlFqKGGARs_mfvMcvaD8,el caliente modern mexicano,https://www.google.com/maps/place/el+caliente+modern+mexicano/data=!4m7!3m6!1s0x60188a5a94d897cf:0x3f682fc7bc9ff9b3!8m2!3d35.6291652!4d139.7405423!16s%2Fg%2F12qfrvs5q!19sChIJz5fYlFqKGGARs_mfvMcvaD8?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran, takosu resutoran, tetsukusumetsukusuLiao Li Dian (amerika)",4.0,1117.0,〒108-0075 東京都港区港南２丁目１８−１ アトレ品川 4F,35.6291652,139.7405423,https://www.huge.co.jp/restaurant/modern-mexicano/elcaliente
ChIJa3cs7aiMGGARsspkNHF6Mx4,TEXMEX FACTORY 渋谷公園通り店,https://www.google.com/maps/place/TEXMEX+FACTORY+%E6%B8%8B%E8%B0%B7%E5%85%AC%E5%9C%92%E9%80%9A%E3%82%8A%E5%BA%97/data=!4m7!3m6!1s0x60188ca8ed2c776b:0x1e337a713464cab2!8m2!3d35.6624737!4d139.6998545!16s%2Fg%2F11c1lk4mct!19sChIJa3cs7aiMGGARsspkNHF6Mx4?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), biyutsuhue resutoran, mekishikoLiao Li Dian ",3.9,1067.0,〒150-0041 東京都渋谷区神南１丁目１９−３ ハイマンテン神南ビル 2F,35.6624737,139.6998545,https://tabelog.com/tokyo/A1303/A130301/13199134/party/
ChIJq6pq__qLGGARUZaiUxL-guc,MUCHO MODERN MEXICANO,https://www.google.com/maps/place/MUCHO+MODERN+MEXICANO/data=!4m7!3m6!1s0x60188bfaff6aaaab:0xe782fe1253a29651!8m2!3d35.6781367!4d139.7646834!16s%2Fg%2F1v3_2p6l!19sChIJq6pq__qLGGARUZaiUxL-guc?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran",4.1,1034.0,"〒100-6402 東京都千代田区丸の内２丁目７−３, TOKIA, 2F 東京ビル",35.6781367,139.7646834,https://www.huge.co.jp/restaurant/modern-mexicano/mucho
ChIJ3aCa8ryMGGARvGXHKUjrxc0,フォンダ・デ・ラ・マドゥルガーダ,https://www.google.com/maps/place/%E3%83%95%E3%82%A9%E3%83%B3%E3%83%80%E3%83%BB%E3%83%87%E3%83%BB%E3%83%A9%E3%83%BB%E3%83%9E%E3%83%89%E3%82%A5%E3%83%AB%E3%82%AC%E3%83%BC%E3%83%80/data=!4m7!3m6!1s0x60188cbcf29aa0dd:0xcdc5eb4829c765bc!8m2!3d35.6735078!4d139.7080905!16s%2Fg%2F11txfrtrgf!19sChIJ3aCa8ryMGGARvGXHKUjrxc0?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,3.4,859.0,〒150-0001 東京都渋谷区神宮前２丁目３３−１２ ビラ・ビアンカ B1,35.6735078,139.7080905,https://fonda-tokyo.com/
ChIJleoxgaiMGGARvQKWC2UTFhE,Guzman y Gomez - Shibuya,https://www.google.com/maps/place/Guzman+y+Gomez+-+Shibuya/data=!4m7!3m6!1s0x60188ca88131ea95:0x111613650b9602bd!8m2!3d35.662318!4d139.7010072!16s%2Fg%2F11f2b64889!19sChIJleoxgaiMGGARvQKWC2UTFhE?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , huasuto hudoDian , Zhai Pei /Chu Qian , teikuauto",4.0,841.0,〒150-0041 東京都渋谷区神南１丁目１１−３ 第二大外ビル 1階,35.662318,139.7010072,https://tabelog.com/tokyo/A1303/A130301/13213810/dtlmenu/
ChIJhVqPOsxPGGARDixBBbPC8uI,HOME taco bar,https://www.google.com/maps/place/HOME+taco+bar/data=!4m7!3m6!1s0x60184fcc3a8f5a85:0xe2f2c2b305412c0e!8m2!3d35.3076198!4d139.4937805!16s%2Fg%2F11ftsdx2zh!19sChIJhVqPOsxPGGARDixBBbPC8uI?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), amerikaLiao Li Dian , ba, mekishikoLiao Li Dian ",4.8,821.0,〒248-0033 神奈川県鎌倉市腰越２丁目１０−２５−２０２,35.3076198,139.4937805,https://home-taco-bar.jimdofree.com/
