place_id,name,link,main_category,categories,rating,reviews,address,coordinatex,coordinatey
ChIJUd36uqSMGGARIkBBHqsDtdQ,chiresuYuan Su ,https://www.google.com/maps/place/%E3%83%81%E3%83%AC%E3%82%B9%E5%8E%9F%E5%AE%BF/data=!4m7!3m6!1s0x60188ca4bafadd51:0xd4b503ab1e414022!8m2!3d35.6703765!4d139.705599!16s%2Fg%2F12hvlrbfr!19sChIJUd36uqSMGGARIkBBHqsDtdQ?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, burito resutoran",4.5,1233,@150-0001 Dong Jing Du Shibui Gu Qu Shen Gong Qian 1Ding Mu 8-24 OZYuan Su biru chiresuYuan Su ,35.6703765,139.705599
ChIJhVqPOsxPGGARDixBBbPC8uI,HOME taco bar,https://www.google.com/maps/place/HOME+taco+bar/data=!4m7!3m6!1s0x60184fcc3a8f5a85:0xe2f2c2b305412c0e!8m2!3d35.3076198!4d139.4937805!16s%2Fg%2F11ftsdx2zh!19sChIJhVqPOsxPGGARDixBBbPC8uI?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), amerikaLiao Li Dian , ba, mekishikoLiao Li Dian ",4.8,902,@248-0033 Shen Nai Chuan Xian Lian Cang Shi Yao Yue 2Ding Mu 10-25-202 HOME taco bar,35.3076198,139.4937805
ChIJCfSEKqWMGGARR4G1S_6p1-I,LAS DOS CARAS MODERN MEXICANO Y TACOS,https://www.google.com/maps/place/LAS+DOS+CARAS+MODERN+MEXICANO+Y+TACOS/data=!4m7!3m6!1s0x60188ca52a84f409:0xe2d7a9fe4bb58147!8m2!3d35.6700793!4d139.7037585!16s%2Fg%2F11cjgfytmh!19sChIJCfSEKqWMGGARR4G1S_6p1-I?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran",4,834,@150-0001 Dong Jing Du Shibui Gu Qu Shen Gong Qian 1Ding Mu 10-37 CASCADE HARAJUKU1F B1 LAS DOS CARAS MODERN MEXICANO Y TACOS,35.6700793,139.7037585
ChIJa3cs7aiMGGAR6na0YBYaTts,TGI FRIDAYS Shibui Gu Shen Nan Dian ,https://www.google.com/maps/place/TGI+FRIDAYS+%E6%B8%8B%E8%B0%B7%E7%A5%9E%E5%8D%97%E5%BA%97/data=!4m7!3m6!1s0x60188ca8ed2c776b:0xdb4e1a1660b476ea!8m2!3d35.6624737!4d139.6998545!16s%2Fg%2F1wcxd29f!19sChIJa3cs7aiMGGAR6na0YBYaTts?authuser=0&hl=ja&rclk=1,resutoran,"resutoran, amerikaLiao Li Dian , ba, ba&guriru, daina, hanbagaDian , Zhai Pei /Chu Qian , modanJu Jiu Wu resutoran, niyu amerikanLiao Li Dian , sutekihausu",3.9,792,@150-0041 Dong Jing Du Shibui Gu Qu Shen Nan 1Ding Mu 19-3 haimantenShen Nan biru 2F TGI FRIDAYS Shibui Gu Shen Nan Dian ,35.6624737,139.6998545
ChIJ_-SFjaSMGGARB_Qz8dVZq94,Guzman y Gomez - Laforet Harajuku,https://www.google.com/maps/place/Guzman+y+Gomez+-+Laforet+Harajuku/data=!4m7!3m6!1s0x60188ca48d85e4ff:0xdeab59d5f133f407!8m2!3d35.6691989!4d139.7056932!16s%2Fg%2F11b6xyk1k_!19sChIJ_-SFjaSMGGARB_Qz8dVZq94?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , huasuto hudoDian , Zhai Pei /Chu Qian , teikuauto",3.8,722,@150-0001 Dong Jing Du Shibui Gu Qu Shen Gong Qian 1Ding Mu 11-6 rahuoreYuan Su  2Jie  Guzman y Gomez - Laforet Harajuku,35.6691989,139.7056932
ChIJS_vnYayOGGAR2oVgoIZXK90,Bei Chu Shi Tang ,https://www.google.com/maps/place/%E5%8C%97%E5%87%BA%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x60188eac61e7fb4b:0xdd2b5786a06085da!8m2!3d35.6935201!4d139.7791173!16s%2Fg%2F1pwfbvfjc!19sChIJS_vnYayOGGAR2oVgoIZXK90?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba&guriru, modanJu Jiu Wu resutoran",4.2,584,@101-0032 Dong Jing Du Qian Dai Tian Qu Yan Ben Ting 1Ding Mu 13-5 Trust Value Yan Ben Ting  Bei Chu Shi Tang ,35.6935201,139.7791173
ChIJ2XRaORGMGGARr46tS5SgYE0,takoberu Shen Bao Ting Dian ,https://www.google.com/maps/place/%E3%82%BF%E3%82%B3%E3%83%99%E3%83%AB+%E7%A5%9E%E4%BF%9D%E7%94%BA%E5%BA%97/data=!4m7!3m6!1s0x60188c11395a74d9:0x4d60a0944bad8eaf!8m2!3d35.6961484!4d139.7591297!16s%2Fg%2F11ggkzh0ky!19sChIJ2XRaORGMGGARr46tS5SgYE0?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,3.6,548,Dong Jing Du Qian Dai Tian Qu Shen Tian Shen Bao Ting 1Ding Mu 8-5 Shen Tian Shen Bao Ting rezidensu1F2F takoberu Shen Bao Ting Dian ,35.6961484,139.7591297
ChIJPT12Y5-LGGARiv-Y9wQT1Tk,FRIJOLES hurihoresu Ma Bu Shi Fan Dian  AZABU-JUBAN,https://www.google.com/maps/place/FRIJOLES+%E3%83%95%E3%83%AA%E3%83%9B%E3%83%BC%E3%83%AC%E3%82%B9+%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%E5%BA%97+AZABU-JUBAN/data=!4m7!3m6!1s0x60188b9f63763d3d:0x39d51304f798ff8a!8m2!3d35.6555331!4d139.7354306!16s%2Fg%2F1tfqlcky!19sChIJPT12Y5-LGGARiv-Y9wQT1Tk?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), burito resutoran, mekishikoLiao Li Dian , sarada shiyotsupu, takosu resutoran",4.1,474,@106-0045 Dong Jing Du Gang Qu Ma Bu Shi Fan 2Ding Mu 3-5 Yu Tian biru 1Jie  FRIJOLES hurihoresu Ma Bu Shi Fan Dian  AZABU-JUBAN,35.6555331,139.7354306
ChIJB3pxFfaJGGAR0kfKB7KJPhQ,takoberu akuashiteioTai Chang Dian ,https://www.google.com/maps/place/%E3%82%BF%E3%82%B3%E3%83%99%E3%83%AB+%E3%82%A2%E3%82%AF%E3%82%A2%E3%82%B7%E3%83%86%E3%82%A3%E3%81%8A%E5%8F%B0%E5%A0%B4%E5%BA%97/data=!4m7!3m6!1s0x601889f615717a07:0x143e89b207ca47d2!8m2!3d35.6283835!4d139.7740058!16s%2Fg%2F11c47skl0x!19sChIJB3pxFfaJGGAR0kfKB7KJPhQ?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, resutoran",3.9,444,@135-0091 Dong Jing Du Gang Qu Tai Chang 1Ding Mu 7-1 akuashitei oTai Chang  3F takoberu akuashiteioTai Chang Dian ,35.6283835,139.7740058
ChIJp1ycgamMGGARy2PY-G0pjAo,kasadesarasa,https://www.google.com/maps/place/%E3%82%AB%E3%82%B5%E3%83%87%E3%82%B5%E3%83%A9%E3%82%B5/data=!4m7!3m6!1s0x60188ca9819c5ca7:0xa8c296df8d863cb!8m2!3d35.660224!4d139.696557!16s%2Fg%2F11g7z0ll7q!19sChIJp1ycgamMGGARy2PY-G0pjAo?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran, takosu resutoran",4.3,438,@150-0043 Dong Jing Du Shibui Gu Qu Dao Xuan Ban 2Ding Mu 25-5 Dao Tian biru 2F kasadesarasa,35.660224,139.696557
