place_id,name,link,main_category,categories,rating,reviews,address,coordinatex,coordinatey
ChIJDxVYR0WLGGARVrfI38KyHZE,Hacienda del cielo MODERN MEXICANO,https://www.google.com/maps/place/Hacienda+del+cielo+MODERN+MEXICANO/data=!4m7!3m6!1s0x60188b454758150f:0x911db2c2dfc8b756!8m2!3d35.6504276!4d139.7025852!16s%2Fg%2F1wyc49wb!19sChIJDxVYR0WLGGARVrfI38KyHZE?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran, takosu resutoran, tetsukusumetsukusuLiao Li Dian (amerika)",4.2,2559,@150-0033 Dong Jing Du Shibui Gu Qu Yuan Le Ting 10-1 9F Hacienda del cielo MODERN MEXICANO,35.6504276,139.7025852
ChIJf5ULvqmMGGARGFULU9fYTaM,takoberu Shibui Gu Dao Xuan Ban Dian ,https://www.google.com/maps/place/%E3%82%BF%E3%82%B3%E3%83%99%E3%83%AB+%E6%B8%8B%E8%B0%B7%E9%81%93%E7%8E%84%E5%9D%82%E5%BA%97/data=!4m7!3m6!1s0x60188ca9be0b957f:0xa34dd8d7530b5518!8m2!3d35.6599248!4d139.6976752!16s%2Fg%2F11b7jftrn7!19sChIJf5ULvqmMGGARGFULU9fYTaM?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, huasuto hudoDian ",3.9,1746,@150-0043 Dong Jing Du Shibui Gu Qu Dao Xuan Ban 2Ding Mu 25-14 takoberu Shibui Gu Dao Xuan Ban Dian ,35.6599248,139.6976752
ChIJUd36uqSMGGARIkBBHqsDtdQ,chiresuYuan Su ,https://www.google.com/maps/place/%E3%83%81%E3%83%AC%E3%82%B9%E5%8E%9F%E5%AE%BF/data=!4m7!3m6!1s0x60188ca4bafadd51:0xd4b503ab1e414022!8m2!3d35.6703765!4d139.705599!16s%2Fg%2F12hvlrbfr!19sChIJUd36uqSMGGARIkBBHqsDtdQ?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, burito resutoran",4.5,1163,@150-0001 Dong Jing Du Shibui Gu Qu Shen Gong Qian 1Ding Mu 8-24 OZYuan Su biru chiresuYuan Su ,35.6703765,139.705599
ChIJa8wOYOGHGGARI9QsEhBQpY0,erutorito Xi Ge Xi Dian ,https://www.google.com/maps/place/%E3%82%A8%E3%83%AB%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88+%E8%A5%BF%E8%91%9B%E8%A5%BF%E5%BA%97/data=!4m7!3m6!1s0x601887e1600ecc6b:0x8da55010122cd423!8m2!3d35.6632363!4d139.8585645!16s%2Fg%2F1vg6tqkf!19sChIJa8wOYOGHGGARI9QsEhBQpY0?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4,1130,@134-0088 Dong Jing Du Jiang Hu Chuan Qu Xi Ge Xi 6Ding Mu 10-15 erutorito Xi Ge Xi Dian ,35.6632363,139.8585645
ChIJz5fYlFqKGGARs_mfvMcvaD8,el caliente modern mexicano,https://www.google.com/maps/place/el+caliente+modern+mexicano/data=!4m7!3m6!1s0x60188a5a94d897cf:0x3f682fc7bc9ff9b3!8m2!3d35.6291652!4d139.7405423!16s%2Fg%2F12qfrvs5q!19sChIJz5fYlFqKGGARs_mfvMcvaD8?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran, takosu resutoran, tetsukusumetsukusuLiao Li Dian (amerika)",4,1117,@108-0075 Dong Jing Du Gang Qu Gang Nan 2Ding Mu 18-1 atorePin Chuan  4F el caliente modern mexicano,35.6291652,139.7405423
ChIJa3cs7aiMGGARsspkNHF6Mx4,TEXMEX FACTORY Shibui Gu Gong Yuan Tong riDian ,https://www.google.com/maps/place/TEXMEX+FACTORY+%E6%B8%8B%E8%B0%B7%E5%85%AC%E5%9C%92%E9%80%9A%E3%82%8A%E5%BA%97/data=!4m7!3m6!1s0x60188ca8ed2c776b:0x1e337a713464cab2!8m2!3d35.6624737!4d139.6998545!16s%2Fg%2F11c1lk4mct!19sChIJa3cs7aiMGGARsspkNHF6Mx4?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), biyutsuhue resutoran, mekishikoLiao Li Dian ",3.9,1067,@150-0041 Dong Jing Du Shibui Gu Qu Shen Nan 1Ding Mu 19-3 haimantenShen Nan biru 2F TEXMEX FACTORY Shibui Gu Gong Yuan Tong riDian ,35.6624737,139.6998545
ChIJq6pq__qLGGARUZaiUxL-guc,MUCHO MODERN MEXICANO,https://www.google.com/maps/place/MUCHO+MODERN+MEXICANO/data=!4m7!3m6!1s0x60188bfaff6aaaab:0xe782fe1253a29651!8m2!3d35.6781367!4d139.7646834!16s%2Fg%2F1v3_2p6l!19sChIJq6pq__qLGGARUZaiUxL-guc?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran",4.1,1034,"@100-6402 Dong Jing Du Qian Dai Tian Qu Wan noNei 2Ding Mu 7-3, TOKIA, 2F Dong Jing biru MUCHO MODERN MEXICANO",35.6781367,139.7646834
ChIJ3aCa8ryMGGARvGXHKUjrxc0,huondaderamadourugada,https://www.google.com/maps/place/%E3%83%95%E3%82%A9%E3%83%B3%E3%83%80%E3%83%BB%E3%83%87%E3%83%BB%E3%83%A9%E3%83%BB%E3%83%9E%E3%83%89%E3%82%A5%E3%83%AB%E3%82%AC%E3%83%BC%E3%83%80/data=!4m7!3m6!1s0x60188cbcf29aa0dd:0xcdc5eb4829c765bc!8m2!3d35.6735078!4d139.7080905!16s%2Fg%2F11txfrtrgf!19sChIJ3aCa8ryMGGARvGXHKUjrxc0?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,3.4,859,@150-0001 Dong Jing Du Shibui Gu Qu Shen Gong Qian 2Ding Mu 33-12 birabianka Di Xia 1Jie  huondaderamadourugada,35.6735078,139.7080905
ChIJleoxgaiMGGARvQKWC2UTFhE,Guzman y Gomez - Shibuya,https://www.google.com/maps/place/Guzman+y+Gomez+-+Shibuya/data=!4m7!3m6!1s0x60188ca88131ea95:0x111613650b9602bd!8m2!3d35.662318!4d139.7010072!16s%2Fg%2F11f2b64889!19sChIJleoxgaiMGGARvQKWC2UTFhE?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , huasuto hudoDian , Zhai Pei /Chu Qian , teikuauto",4,841,@150-0041 Dong Jing Du Shibui Gu Qu Shen Nan 1Ding Mu 11-3 Di Er Da Wai biru 1Jie  Guzman y Gomez - Shibuya,35.662318,139.7010072
ChIJhVqPOsxPGGARDixBBbPC8uI,HOME taco bar,https://www.google.com/maps/place/HOME+taco+bar/data=!4m7!3m6!1s0x60184fcc3a8f5a85:0xe2f2c2b305412c0e!8m2!3d35.3076198!4d139.4937805!16s%2Fg%2F11ftsdx2zh!19sChIJhVqPOsxPGGARDixBBbPC8uI?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), amerikaLiao Li Dian , ba, mekishikoLiao Li Dian ",4.8,821,@248-0033 Shen Nai Chuan Xian Lian Cang Shi Yao Yue 2Ding Mu 10-25-202 HOME taco bar,35.3076198,139.4937805
